user_id,timestamp,group,landing_page,converted
600519,2017-01-12 06:25:44.000000,control,old_page,0
600489,2017-01-11 11:58:11.000000,control,new_page,0
608087,2017-01-14 14:02:35.000000,control,old_page,0
609196,2017-01-03 04:06:41.000000,control,old_page,0
611247,2017-01-08 10:41:42.000000,treatment,new_page,0
606529,2017-01-15 06:48:45.000000,control,old_page,0
600212,2017-01-05 01:20:36.000000,treatment,new_page,0
608511,2017-01-10 23:28:45.000000,treatment,new_page,0
602088,2017-01-02 13:23:37.000000,treatment,new_page,0
610773,2017-01-09 15:54:42.000000,treatment,new_page,1
611200,2017-01-11 13:46:24.000000,treatment,new_page,0
602294,2017-01-08 19:46:26.000000,treatment,new_page,1
606365,2017-01-09 20:39:23.000000,treatment,new_page,0
602011,2017-01-06 14:59:19.000000,treatment,new_page,0
605971,2017-01-16 10:06:32.000000,treatment,new_page,0
609013,2017-01-08 13:50:08.000000,control,old_page,0
602399,2017-01-12 01:07:27.000000,treatment,new_page,0
601091,2017-01-04 18:25:37.000000,treatment,new_page,0
605722,2017-01-06 01:05:15.000000,treatment,new_page,0
603349,2017-01-08 21:06:22.000000,control,old_page,0
610895,2017-01-15 00:08:45.000000,control,old_page,0
606371,2017-01-06 16:52:55.000000,control,old_page,1
603158,2017-01-11 08:58:01.000000,treatment,new_page,0
605874,2017-01-09 08:52:32.000000,control,old_page,0
607342,2017-01-04 21:44:35.000000,treatment,new_page,0
610300,2017-01-12 20:17:50.000000,control,old_page,0
607115,2017-01-06 07:40:03.000000,control,old_page,0
608503,2017-01-04 21:14:04.000000,control,old_page,0
601261,2017-01-15 07:14:23.000000,control,old_page,0
603481,2017-01-07 08:54:05.000000,treatment,new_page,0
604827,2017-01-14 23:34:04.000000,treatment,new_page,1
602997,2017-01-12 15:17:51.000000,treatment,new_page,0
606747,2017-01-14 09:36:31.000000,control,old_page,0
601266,2017-01-04 07:57:46.000000,control,new_page,0
603895,2017-01-15 04:20:24.000000,treatment,new_page,0
608014,2017-01-13 21:34:32.000000,treatment,new_page,0
600816,2017-01-10 09:36:37.000000,control,old_page,0
609654,2017-01-07 06:31:28.000000,control,new_page,0
603559,2017-01-08 03:41:33.000000,treatment,new_page,0
602204,2017-01-08 11:27:41.000000,control,old_page,0
608661,2017-01-09 02:55:53.000000,treatment,new_page,0
608067,2017-01-11 15:03:30.000000,treatment,new_page,0
606792,2017-01-07 05:12:48.000000,treatment,new_page,0
602593,2017-01-03 04:59:27.000000,control,old_page,0
601006,2017-01-06 09:28:34.000000,control,old_page,0
603862,2017-01-09 03:01:58.000000,control,old_page,0
602471,2017-01-15 17:58:34.000000,control,old_page,0
604586,2017-01-08 07:07:53.000000,treatment,new_page,0
602215,2017-01-14 17:27:36.000000,treatment,new_page,1
600966,2017-01-11 00:31:33.000000,control,old_page,0
600167,2017-01-03 23:09:27.000000,control,old_page,1
603572,2017-01-09 10:50:10.000000,treatment,new_page,0
602711,2017-01-13 01:37:41.000000,treatment,new_page,0
604626,2017-01-12 09:52:19.000000,treatment,new_page,0
608319,2017-01-14 22:33:37.000000,treatment,new_page,0
603187,2017-01-15 01:48:30.000000,control,old_page,0
604298,2017-01-14 06:31:26.000000,treatment,new_page,1
609871,2017-01-10 07:30:13.000000,treatment,new_page,1
608790,2017-01-06 15:34:26.000000,treatment,new_page,0
610315,2017-01-05 12:03:27.000000,control,old_page,0
609794,2017-01-13 15:55:24.000000,treatment,new_page,0
610272,2017-01-12 16:21:01.000000,treatment,new_page,0
601867,2017-01-08 10:13:20.000000,control,old_page,0
603959,2017-01-08 12:08:35.000000,treatment,new_page,0
609987,2017-01-06 07:26:28.000000,treatment,new_page,0
600780,2017-01-03 08:03:31.000000,treatment,old_page,0
607962,2017-01-03 19:53:11.000000,treatment,new_page,0
608828,2017-01-10 00:17:46.000000,treatment,new_page,0
605801,2017-01-06 21:42:29.000000,treatment,new_page,0
611420,2017-01-06 21:15:28.000000,control,old_page,0
606143,2017-01-16 09:50:50.000000,control,old_page,0
611015,2017-01-10 04:02:29.000000,control,old_page,0
603584,2017-01-03 00:17:55.000000,control,new_page,0
602761,2017-01-10 13:35:26.000000,control,old_page,1
600873,2017-01-05 01:21:06.000000,treatment,new_page,0
606837,2017-01-05 15:18:58.000000,control,old_page,0
606741,2017-01-15 14:07:22.000000,control,old_page,0
611294,2017-01-12 16:29:05.000000,treatment,new_page,0
610307,2017-01-10 06:36:21.000000,treatment,new_page,0
611867,2017-01-13 22:39:37.000000,control,old_page,0
609927,2017-01-11 05:45:13.000000,treatment,new_page,0
600244,2017-01-06 07:02:01.000000,treatment,new_page,0
600606,2017-01-14 07:21:54.000000,control,old_page,0
608439,2017-01-10 04:07:56.000000,control,old_page,0
600113,2017-01-05 14:15:38.000000,control,old_page,0
604251,2017-01-02 17:43:47.000000,treatment,new_page,0
607470,2017-01-05 14:14:08.000000,treatment,new_page,0
610596,2017-01-14 16:02:01.000000,treatment,new_page,0
610618,2017-01-13 14:11:57.000000,treatment,new_page,0
604138,2017-01-15 05:17:16.000000,control,old_page,0
610837,2017-01-11 22:56:36.000000,treatment,new_page,0
605135,2017-01-09 18:35:07.000000,treatment,new_page,0
604863,2017-01-05 21:58:53.000000,treatment,old_page,0
611490,2017-01-09 08:30:03.000000,control,old_page,0
602319,2017-01-04 00:31:22.000000,control,old_page,0
603764,2017-01-05 21:37:43.000000,control,old_page,0
600044,2017-01-06 12:11:19.000000,control,old_page,0
607566,2017-01-07 11:42:01.000000,control,old_page,1
603044,2017-01-04 07:00:47.000000,treatment,new_page,0
600763,2017-01-14 11:58:28.000000,control,old_page,0
609305,2017-01-16 03:57:36.000000,treatment,new_page,0
610309,2017-01-06 20:10:20.000000,control,old_page,0
603139,2017-01-15 14:46:03.000000,control,old_page,0
610038,2017-01-07 02:39:25.000000,control,old_page,0
604840,2017-01-06 14:21:49.000000,treatment,new_page,0
609407,2017-01-07 00:16:09.000000,control,old_page,0
602551,2017-01-11 13:57:44.000000,control,old_page,0
611857,2017-01-05 12:37:08.000000,control,old_page,0
609002,2017-01-11 12:07:50.000000,control,old_page,0
609405,2017-01-11 07:25:53.000000,treatment,new_page,0
601884,2017-01-14 15:51:54.000000,control,old_page,0
604431,2017-01-03 11:02:27.000000,treatment,new_page,0
601121,2017-01-13 15:17:16.000000,control,old_page,0
604697,2017-01-09 14:49:15.000000,control,old_page,1
601413,2017-01-06 03:05:08.000000,treatment,new_page,0
603799,2017-01-05 18:00:20.000000,control,old_page,0
604834,2017-01-05 19:55:58.000000,control,old_page,1
607169,2017-01-09 09:10:07.000000,control,old_page,0
610136,2017-01-08 05:07:04.000000,control,old_page,1
610806,2017-01-04 15:49:21.000000,control,old_page,0
609621,2017-01-15 00:42:45.000000,treatment,new_page,0
604935,2017-01-11 11:03:00.000000,control,old_page,0
605639,2017-01-09 22:16:51.000000,treatment,new_page,0
609819,2017-01-07 03:33:37.000000,treatment,new_page,0
604619,2017-01-03 14:45:44.000000,control,old_page,0
601617,2017-01-05 22:38:05.000000,treatment,new_page,0
602123,2017-01-08 13:20:45.000000,control,old_page,1
606763,2017-01-08 13:40:00.000000,control,old_page,0
604310,2017-01-04 16:31:25.000000,control,old_page,0
604685,2017-01-15 10:51:24.000000,treatment,new_page,0
609226,2017-01-11 15:04:55.000000,control,old_page,0
604278,2017-01-12 20:59:26.000000,treatment,new_page,0
602888,2017-01-10 17:51:38.000000,control,old_page,0
603736,2017-01-11 15:29:24.000000,treatment,new_page,0
610269,2017-01-09 19:49:24.000000,treatment,new_page,0
602784,2017-01-06 23:31:44.000000,control,old_page,0
611695,2017-01-02 16:42:10.000000,treatment,new_page,0
610994,2017-01-13 02:31:06.000000,treatment,new_page,0
608586,2017-01-07 06:10:43.000000,treatment,new_page,0
609051,2017-01-10 06:20:28.000000,control,old_page,0
602570,2017-01-12 07:59:19.000000,control,old_page,0
604647,2017-01-15 10:17:00.000000,control,old_page,0
601317,2017-01-13 05:05:19.000000,control,old_page,0
600714,2017-01-14 06:29:20.000000,control,old_page,0
609806,2017-01-15 14:32:40.000000,treatment,new_page,0
602323,2017-01-07 09:11:33.000000,treatment,new_page,0
610636,2017-01-09 09:01:32.000000,treatment,new_page,0
604338,2017-01-09 08:40:40.000000,control,old_page,0
603981,2017-01-13 13:52:19.000000,control,old_page,0
606842,2017-01-03 19:47:45.000000,treatment,new_page,0
607032,2017-01-07 05:23:18.000000,treatment,new_page,0
611640,2017-01-16 07:51:19.000000,control,old_page,0
601799,2017-01-14 16:43:58.000000,treatment,new_page,0
600735,2017-01-15 10:14:38.000000,treatment,new_page,0
601040,2017-01-05 21:08:15.000000,control,old_page,0
603228,2017-01-13 13:09:55.000000,treatment,new_page,1
